Student index,age,hostel,mess,year,department,program,batch,inCampus
71,22,Kadamba Nivas,Yuktahaar Mess,1,20171036,B.Tech,20171036,1
72,22,Kadamba Nivas,Kadamba Mess,4,20171037,Ph.D,20171037,1
73,23,Kadamba Nivas,Kadamba Mess,4,20171038,B.Tech,20171038,1
74,23,Kadamba Nivas,Kadamba Mess,2,20171039,B.Tech,20171039,1
75,19,Kadamba Nivas,South Mess,2,20171040,B.Tech,20171040,1
76,24,Parijat Nivas,South Mess,4,20171041,B.Tech,20171041,1
77,20,Kadamba Nivas,Yuktahaar Mess,1,20171042,Ph.D,20171042,1
78,20,Kadamba Nivas,Kadamba Mess,4,20171043,B.Tech,20171043,1
79,18,Kadamba Nivas,South Mess,4,20171046,B.Tech,20171046,1
80,19,Kadamba Nivas,Kadamba Mess,3,20171047,B.Tech,20171047,1
81,23,Kadamba Nivas,South Mess,1,20171048,B.Tech,20171048,1
82,24,Kadamba Nivas,South Mess,2,20171049,B.Tech,20171049,1
83,19,Kadamba Nivas,South Mess,1,20171050,B.Tech,20171050,1
84,18,Kadamba Nivas,Yuktahaar Mess,4,20171051,Ph.D,20171051,1
85,21,Kadamba Nivas,Kadamba Mess,1,20171052,B.Tech,20171052,1
86,22,Kadamba Nivas,Yuktahaar Mess,2,20171053,B.Tech,20171053,1
87,19,Kadamba Nivas,South Mess,4,20171054,B.Tech,20171054,1
88,19,Kadamba Nivas,Yuktahaar Mess,1,20171055,B.Tech,20171055,1
89,24,Kadamba Nivas,South Mess,1,20171056,B.Tech,20171056,1
90,24,Kadamba Nivas,South Mess,4,20171057,B.Tech,20171057,1
91,21,Kadamba Nivas,South Mess,2,20171058,B.Tech,20171058,1
92,20,Kadamba Nivas,Yuktahaar Mess,1,20171059,B.Tech,20171059,1
93,24,Parijat Nivas,Kadamba Mess,1,20171060,B.Tech,20171060,1
94,21,Kadamba Nivas,South Mess,1,20171061,B.Tech,20171061,1
95,19,Kadamba Nivas,Yuktahaar Mess,3,20171062,B.Tech,20171062,1
96,24,Kadamba Nivas,Yuktahaar Mess,3,20171064,Ph.D,20171064,1
97,23,Kadamba Nivas,South Mess,1,20171065,B.Tech,20171065,1
98,23,Kadamba Nivas,Kadamba Mess,1,20171066,B.Tech,20171066,1
99,20,Kadamba Nivas,Kadamba Mess,1,20171067,Ph.D,20171067,1
100,24,Kadamba Nivas,Kadamba Mess,2,20171068,B.Tech,20171068,1
101,19,Kadamba Nivas,Yuktahaar Mess,3,20171069,B.Tech,20171069,1
102,21,Kadamba Nivas,Yuktahaar Mess,2,20171071,B.Tech,20171071,1
103,24,Kadamba Nivas,Kadamba Mess,3,20171072,B.Tech,20171072,1
104,22,Kadamba Nivas,Yuktahaar Mess,3,20171074,B.Tech,20171074,1
105,19,Parijat Nivas,South Mess,2,20171075,B.Tech,20171075,1
106,22,Kadamba Nivas,South Mess,4,20171076,B.Tech,20171076,1
107,22,Parijat Nivas,Kadamba Mess,1,20171077,B.Tech,20171077,1
108,21,Kadamba Nivas,South Mess,2,20171078,B.Tech,20171078,1
109,21,Kadamba Nivas,Yuktahaar Mess,4,20171079,B.Tech,20171079,1
110,18,Kadamba Nivas,Kadamba Mess,4,20171080,B.Tech,20171080,1
111,22,Kadamba Nivas,South Mess,4,20171081,B.Tech,20171081,1
112,18,Kadamba Nivas,Kadamba Mess,2,20171082,B.Tech,20171082,1
113,19,Kadamba Nivas,Yuktahaar Mess,2,20171083,B.Tech,20171083,1
114,23,Kadamba Nivas,Yuktahaar Mess,1,20171084,Ph.D,20171084,1
115,18,Parijat Nivas,Kadamba Mess,2,20171086,B.Tech,20171086,1
116,21,Parijat Nivas,South Mess,2,20171087,B.Tech,20171087,1
117,20,Kadamba Nivas,Yuktahaar Mess,4,20171088,B.Tech,20171088,1
118,24,Kadamba Nivas,Yuktahaar Mess,2,20171089,Ph.D,20171089,1
119,22,Kadamba Nivas,South Mess,4,20171090,Ph.D,20171090,1
120,22,Kadamba Nivas,Kadamba Mess,3,20171091,B.Tech,20171091,1
121,23,Kadamba Nivas,Kadamba Mess,1,20171092,B.Tech,20171092,1
122,24,Parijat Nivas,South Mess,4,20171093,B.Tech,20171093,1
123,18,Kadamba Nivas,Yuktahaar Mess,4,20171094,B.Tech,20171094,1
124,23,Kadamba Nivas,South Mess,3,20171095,B.Tech,20171095,1
125,18,Kadamba Nivas,South Mess,2,20171096,B.Tech,20171096,1
126,22,Kadamba Nivas,Yuktahaar Mess,2,20171097,B.Tech,20171097,1
127,19,Kadamba Nivas,Kadamba Mess,1,20171098,B.Tech,20171098,1
128,24,Parijat Nivas,Kadamba Mess,3,20171099,Ph.D,20171099,1
129,23,Kadamba Nivas,Kadamba Mess,2,20171100,B.Tech,20171100,1
130,18,Kadamba Nivas,South Mess,4,20171101,Ph.D,20171101,1
131,21,Kadamba Nivas,Yuktahaar Mess,2,20171102,B.Tech,20171102,1
132,18,Kadamba Nivas,South Mess,4,20171103,B.Tech,20171103,1
133,20,Kadamba Nivas,Kadamba Mess,4,20171104,B.Tech,20171104,1
134,18,Kadamba Nivas,Kadamba Mess,3,20171105,Ph.D,20171105,1
135,19,Kadamba Nivas,Kadamba Mess,3,20171106,B.Tech,20171106,1
136,20,Kadamba Nivas,Yuktahaar Mess,3,20171107,B.Tech,20171107,1
137,20,Kadamba Nivas,Kadamba Mess,2,20171108,Ph.D,20171108,1
138,22,Kadamba Nivas,Kadamba Mess,3,20171109,B.Tech,20171109,1
139,19,Parijat Nivas,South Mess,1,20171110,B.Tech,20171110,1
140,21,Kadamba Nivas,South Mess,1,20171111,B.Tech,20171111,1
141,20,Parijat Nivas,South Mess,4,20171112,B.Tech,20171112,1
142,22,Kadamba Nivas,Yuktahaar Mess,4,20171113,B.Tech,20171113,1
143,23,Kadamba Nivas,Kadamba Mess,3,20171114,B.Tech,20171114,1
144,24,Parijat Nivas,South Mess,1,20171115,B.Tech,20171115,1
145,24,Kadamba Nivas,South Mess,1,20171116,B.Tech,20171116,1
146,23,Kadamba Nivas,Yuktahaar Mess,1,20171117,B.Tech,20171117,1
147,22,Parijat Nivas,Yuktahaar Mess,3,20171118,Ph.D,20171118,1
148,24,Kadamba Nivas,Kadamba Mess,3,20171119,B.Tech,20171119,1
149,20,Kadamba Nivas,Kadamba Mess,3,20171120,Ph.D,20171120,1
150,20,Kadamba Nivas,Kadamba Mess,3,20171121,B.Tech,20171121,1
151,18,Kadamba Nivas,Yuktahaar Mess,2,20171122,Ph.D,20171122,1
152,20,Kadamba Nivas,South Mess,4,20171123,Ph.D,20171123,1
153,18,Kadamba Nivas,South Mess,3,20171125,B.Tech,20171125,1
154,20,Kadamba Nivas,South Mess,2,20171127,Ph.D,20171127,1
155,18,Kadamba Nivas,South Mess,4,20171128,B.Tech,20171128,1
156,19,Kadamba Nivas,Kadamba Mess,4,20171129,B.Tech,20171129,1
157,20,Parijat Nivas,Kadamba Mess,2,20171130,Ph.D,20171130,1
158,18,Parijat Nivas,South Mess,4,20171131,B.Tech,20171131,1
159,18,Kadamba Nivas,South Mess,2,20171132,B.Tech,20171132,1
160,18,Parijat Nivas,Kadamba Mess,1,20171133,B.Tech,20171133,1
161,20,Kadamba Nivas,South Mess,4,20171134,B.Tech,20171134,1
162,22,Kadamba Nivas,South Mess,1,20171135,B.Tech,20171135,1
163,19,Kadamba Nivas,Kadamba Mess,4,20171136,B.Tech,20171136,1
164,19,Kadamba Nivas,Kadamba Mess,4,20171137,B.Tech,20171137,1
165,18,Kadamba Nivas,Kadamba Mess,1,20171138,B.Tech,20171138,1
166,24,Kadamba Nivas,Kadamba Mess,1,20171139,B.Tech,20171139,1
167,18,Parijat Nivas,South Mess,4,20171140,Ph.D,20171140,1
168,22,Kadamba Nivas,Yuktahaar Mess,3,20171141,B.Tech,20171141,1
169,23,Kadamba Nivas,Kadamba Mess,3,20171142,B.Tech,20171142,1
170,19,Parijat Nivas,Yuktahaar Mess,2,20171143,B.Tech,20171143,1
171,22,Kadamba Nivas,Kadamba Mess,3,20171144,B.Tech,20171144,1
172,22,Kadamba Nivas,South Mess,4,20171145,B.Tech,20171145,1
173,19,Kadamba Nivas,South Mess,4,20171147,B.Tech,20171147,1
174,22,Kadamba Nivas,Yuktahaar Mess,3,20171148,B.Tech,20171148,1
175,18,Kadamba Nivas,South Mess,1,20171149,B.Tech,20171149,1
176,21,Kadamba Nivas,South Mess,4,20171150,B.Tech,20171150,1
177,18,Parijat Nivas,South Mess,4,20171151,B.Tech,20171151,1
178,20,Parijat Nivas,Yuktahaar Mess,1,20171152,B.Tech,20171152,1
179,21,Kadamba Nivas,Kadamba Mess,1,20171153,B.Tech,20171153,1
180,20,Kadamba Nivas,South Mess,1,20171154,B.Tech,20171154,1
181,21,Kadamba Nivas,Kadamba Mess,3,20171155,B.Tech,20171155,1
182,21,Kadamba Nivas,South Mess,4,20171156,B.Tech,20171156,1
183,18,Kadamba Nivas,South Mess,1,20171157,B.Tech,20171157,1
184,21,Kadamba Nivas,Kadamba Mess,4,20171158,B.Tech,20171158,1
185,19,Kadamba Nivas,Kadamba Mess,1,20171159,Ph.D,20171159,1
186,19,Kadamba Nivas,Kadamba Mess,2,20171160,B.Tech,20171160,1
187,19,Kadamba Nivas,Kadamba Mess,3,20171161,B.Tech,20171161,1
188,20,Kadamba Nivas,Yuktahaar Mess,4,20171162,B.Tech,20171162,1
189,19,Kadamba Nivas,Yuktahaar Mess,3,20171163,B.Tech,20171163,1
190,19,Kadamba Nivas,South Mess,3,20171164,B.Tech,20171164,1
191,23,Kadamba Nivas,Yuktahaar Mess,3,20171165,B.Tech,20171165,1
192,18,Kadamba Nivas,South Mess,3,20171166,Ph.D,20171166,1
193,22,Kadamba Nivas,Yuktahaar Mess,3,20171167,B.Tech,20171167,1
194,21,Kadamba Nivas,Kadamba Mess,2,20171168,B.Tech,20171168,1
195,24,Parijat Nivas,South Mess,3,20171169,B.Tech,20171169,1
196,24,Kadamba Nivas,Kadamba Mess,1,20171170,B.Tech,20171170,1
197,20,Kadamba Nivas,Kadamba Mess,4,20171171,B.Tech,20171171,1
198,19,Parijat Nivas,Yuktahaar Mess,4,20171172,B.Tech,20171172,1
199,19,Kadamba Nivas,Yuktahaar Mess,1,20171174,B.Tech,20171174,1
200,23,Kadamba Nivas,South Mess,4,20171175,B.Tech,20171175,1
201,20,Kadamba Nivas,Yuktahaar Mess,1,20171176,B.Tech,20171176,1
202,23,Parijat Nivas,Kadamba Mess,2,20171177,B.Tech,20171177,1
203,21,Kadamba Nivas,Kadamba Mess,4,20171178,Ph.D,20171178,1
204,24,Kadamba Nivas,Yuktahaar Mess,3,20171179,B.Tech,20171179,1
205,21,Kadamba Nivas,Kadamba Mess,4,20171180,B.Tech,20171180,1
206,23,Kadamba Nivas,Kadamba Mess,4,20171182,B.Tech,20171182,1
207,20,Kadamba Nivas,South Mess,2,20171183,B.Tech,20171183,1
208,19,Kadamba Nivas,Kadamba Mess,2,20171184,B.Tech,20171184,1
209,20,Kadamba Nivas,South Mess,3,20171185,B.Tech,20171185,1
210,19,Kadamba Nivas,Kadamba Mess,1,20171186,B.Tech,20171186,1
211,18,Kadamba Nivas,Yuktahaar Mess,1,20171187,B.Tech,20171187,1
212,23,Kadamba Nivas,Yuktahaar Mess,2,20171188,B.Tech,20171188,1
213,24,Kadamba Nivas,Kadamba Mess,1,20171189,B.Tech,20171189,1
214,22,Parijat Nivas,Kadamba Mess,2,20171191,Ph.D,20171191,1
215,18,Kadamba Nivas,South Mess,2,20171192,B.Tech,20171192,1
216,22,Parijat Nivas,South Mess,3,20171193,Ph.D,20171193,1
217,21,Kadamba Nivas,Yuktahaar Mess,3,20171194,Ph.D,20171194,1
218,24,Kadamba Nivas,Yuktahaar Mess,3,20171195,Ph.D,20171195,1
219,20,Kadamba Nivas,Kadamba Mess,2,20171196,Ph.D,20171196,1
220,21,Kadamba Nivas,Yuktahaar Mess,4,20171197,Ph.D,20171197,1
221,19,Kadamba Nivas,South Mess,3,20171198,B.Tech,20171198,1
222,21,Kadamba Nivas,Kadamba Mess,4,20171199,Ph.D,20171199,1
223,20,Kadamba Nivas,Yuktahaar Mess,2,20171200,B.Tech,20171200,1
224,22,Kadamba Nivas,Kadamba Mess,1,20171201,B.Tech,20171201,1
225,24,Parijat Nivas,Yuktahaar Mess,1,20171202,B.Tech,20171202,1
226,18,Kadamba Nivas,Kadamba Mess,1,20171203,B.Tech,20171203,1
227,24,Kadamba Nivas,South Mess,4,20171204,B.Tech,20171204,1
228,24,Kadamba Nivas,Kadamba Mess,4,20171205,Ph.D,20171205,1
229,20,Kadamba Nivas,Yuktahaar Mess,4,20171207,Ph.D,20171207,1
230,18,Kadamba Nivas,Yuktahaar Mess,2,20171208,B.Tech,20171208,1
231,24,Kadamba Nivas,Yuktahaar Mess,1,20171209,B.Tech,20171209,1
232,19,Kadamba Nivas,Yuktahaar Mess,2,20171210,B.Tech,20171210,1
233,21,Parijat Nivas,Yuktahaar Mess,3,20171211,B.Tech,20171211,1
234,23,Kadamba Nivas,South Mess,4,20171212,Ph.D,20171212,1
235,23,Kadamba Nivas,Yuktahaar Mess,3,20171213,B.Tech,20171213,1
236,23,Parijat Nivas,South Mess,2,20171308,Ph.D,20171308,1
237,22,Kadamba Nivas,South Mess,3,20171309,B.Tech,20171309,1
238,18,Kadamba Nivas,Yuktahaar Mess,2,20171311,B.Tech,20171311,1
239,19,Kadamba Nivas,Kadamba Mess,3,20171405,B.Tech,20171405,1
240,18,Kadamba Nivas,South Mess,2,20172067,Ph.D,20172067,1
241,22,Kadamba Nivas,Yuktahaar Mess,3,20172078,B.Tech,20172078,1
242,18,Parijat Nivas,South Mess,1,20172139,B.Tech,20172139,1
243,22,Parijat Nivas,South Mess,4,20172146,B.Tech,20172146,1
244,18,Kadamba Nivas,Yuktahaar Mess,2,20172148,Ph.D,20172148,1
245,23,Kadamba Nivas,South Mess,4,20172150,B.Tech,20172150,1
246,20,Kadamba Nivas,Kadamba Mess,1,20172153,B.Tech,20172153,1
247,23,Kadamba Nivas,Yuktahaar Mess,1,20173008,Ph.D,20173008,1
248,19,Kadamba Nivas,Yuktahaar Mess,1,20173013,B.Tech,20173013,1
249,24,Parijat Nivas,Yuktahaar Mess,4,20173016,B.Tech,20173016,1
250,23,Parijat Nivas,Yuktahaar Mess,3,20173022,B.Tech,20173022,1
251,20,Parijat Nivas,South Mess,2,20173064,B.Tech,20173064,1
252,21,Kadamba Nivas,Yuktahaar Mess,1,20173071,Ph.D,20173071,1
253,24,Parijat Nivas,Yuktahaar Mess,1,20173098,B.Tech,20173098,1
254,18,Kadamba Nivas,Kadamba Mess,4,20173101,B.Tech,20173101,1
255,23,Palash Nivas,Yuktahaar Mess,2,201125172,B.Tech,201125172,1
256,21,Palash Nivas,South Mess,1,201201064,B.Tech,201201064,1
257,23,Palash Nivas,Yuktahaar Mess,4,201325148,B.Tech,201325148,1
258,24,Palash Nivas,Yuktahaar Mess,3,201364097,Ph.D,201364097,1
259,22,Palash Nivas,Kadamba Mess,1,201364211,B.Tech,201364211,1
260,22,Palash Nivas,Yuktahaar Mess,1,201401129,B.Tech,201401129,1
261,18,Palash Nivas,South Mess,3,201402133,B.Tech,201402133,1
262,18,Palash Nivas,Yuktahaar Mess,3,201433651,B.Tech,201433651,1
263,21,Palash Nivas,South Mess,1,201456113,B.Tech,201456113,1
264,18,Palash Nivas,Kadamba Mess,2,201460623,B.Tech,201460623,1
265,22,Palash Nivas,Kadamba Mess,3,201502052,B.Tech,201502052,1
266,18,Palash Nivas,South Mess,1,201502168,B.Tech,201502168,1
267,21,Palash Nivas,South Mess,4,201502183,Ph.D,201502183,1
268,18,Palash Nivas,Yuktahaar Mess,1,201516174,B.Tech,201516174,1
269,22,Palash Nivas,Yuktahaar Mess,2,201530100,B.Tech,201530100,1
270,18,Palash Nivas,Kadamba Mess,1,201550837,B.Tech,201550837,1
271,24,Palash Nivas,Kadamba Mess,2,201564018,B.Tech,201564018,1
272,22,Palash Nivas,Yuktahaar Mess,4,201599594,B.Tech,201599594,1
273,22,Bakul Nivas,Kadamba Mess,3,2018101001,Ph.D,2018101001,1
274,21,Bakul Nivas,South Mess,2,2018101002,B.Tech,2018101002,1
275,24,Bakul Nivas,Yuktahaar Mess,2,2018101003,B.Tech,2018101003,1
276,23,Bakul Nivas,Kadamba Mess,4,2018101004,Ph.D,2018101004,1
277,21,Bakul Nivas,South Mess,2,2018101006,B.Tech,2018101006,1
278,20,Bakul Nivas,Yuktahaar Mess,4,2018101008,B.Tech,2018101008,1
279,21,Bakul Nivas,Kadamba Mess,3,2018101009,B.Tech,2018101009,1
280,18,Bakul Nivas,Yuktahaar Mess,4,2018101010,B.Tech,2018101010,1
281,21,Bakul Nivas,Yuktahaar Mess,1,2018101011,B.Tech,2018101011,1
282,18,Bakul Nivas,Yuktahaar Mess,2,2018101012,B.Tech,2018101012,1
283,20,Bakul Nivas,South Mess,4,2018101013,B.Tech,2018101013,1
284,18,Bakul Nivas,Yuktahaar Mess,1,2018101014,B.Tech,2018101014,1
285,21,Parijat Nivas,Yuktahaar Mess,3,2018101015,B.Tech,2018101015,1
286,20,Bakul Nivas,Kadamba Mess,1,2018101016,B.Tech,2018101016,1
287,22,Bakul Nivas,Yuktahaar Mess,1,2018101017,Ph.D,2018101017,1
288,20,Bakul Nivas,South Mess,3,2018101018,B.Tech,2018101018,1
289,22,Bakul Nivas,South Mess,3,2018101019,B.Tech,2018101019,1
290,18,Bakul Nivas,Yuktahaar Mess,4,2018101020,B.Tech,2018101020,1
291,20,Bakul Nivas,Yuktahaar Mess,2,2018101021,B.Tech,2018101021,1
292,18,Bakul Nivas,Yuktahaar Mess,1,2018101022,B.Tech,2018101022,1
293,22,Parijat Nivas,Kadamba Mess,2,2018101023,Ph.D,2018101023,1
294,19,Bakul Nivas,South Mess,3,2018101024,B.Tech,2018101024,1
295,18,Bakul Nivas,Kadamba Mess,4,2018101025,B.Tech,2018101025,1
296,23,Bakul Nivas,South Mess,4,2018101026,B.Tech,2018101026,1
297,21,Bakul Nivas,Kadamba Mess,3,2018101027,B.Tech,2018101027,1
298,22,Bakul Nivas,South Mess,4,2018101028,B.Tech,2018101028,1
299,20,Bakul Nivas,Yuktahaar Mess,4,2018101029,B.Tech,2018101029,1
300,19,Bakul Nivas,Kadamba Mess,1,2018101030,B.Tech,2018101030,1
301,24,Bakul Nivas,Kadamba Mess,3,2018101031,Ph.D,2018101031,1
302,19,Bakul Nivas,South Mess,3,2018101032,B.Tech,2018101032,1
303,21,Parijat Nivas,Yuktahaar Mess,1,2018101033,B.Tech,2018101033,1
304,18,Bakul Nivas,Yuktahaar Mess,2,2018101034,B.Tech,2018101034,1
305,21,Bakul Nivas,South Mess,2,2018101035,B.Tech,2018101035,1
306,18,Bakul Nivas,South Mess,4,2018101036,Ph.D,2018101036,1
307,22,Bakul Nivas,Kadamba Mess,2,2018101037,B.Tech,2018101037,1
308,24,Bakul Nivas,Yuktahaar Mess,1,2018101038,Ph.D,2018101038,1
309,18,Bakul Nivas,Yuktahaar Mess,2,2018101039,B.Tech,2018101039,1
310,22,Parijat Nivas,Kadamba Mess,4,2018101041,B.Tech,2018101041,1
311,21,Bakul Nivas,Kadamba Mess,2,2018101042,Ph.D,2018101042,1
312,22,Parijat Nivas,Kadamba Mess,4,2018101043,B.Tech,2018101043,1
313,20,Bakul Nivas,Yuktahaar Mess,4,2018101044,B.Tech,2018101044,1
314,22,Bakul Nivas,South Mess,4,2018101045,B.Tech,2018101045,1
315,19,Bakul Nivas,South Mess,3,2018101046,B.Tech,2018101046,1
316,18,Parijat Nivas,South Mess,2,2018101047,B.Tech,2018101047,1
317,23,Bakul Nivas,South Mess,4,2018101048,B.Tech,2018101048,1
318,19,Parijat Nivas,Yuktahaar Mess,1,2018101049,B.Tech,2018101049,1
319,19,Parijat Nivas,Yuktahaar Mess,4,2018101050,B.Tech,2018101050,1
320,20,Bakul Nivas,Yuktahaar Mess,3,2018101051,B.Tech,2018101051,1
321,24,Bakul Nivas,Yuktahaar Mess,3,2018101052,B.Tech,2018101052,1
322,19,Bakul Nivas,Yuktahaar Mess,4,2018101053,B.Tech,2018101053,1
323,23,Bakul Nivas,Kadamba Mess,4,2018101054,B.Tech,2018101054,1
324,21,Bakul Nivas,South Mess,2,2018101055,B.Tech,2018101055,1
325,19,Parijat Nivas,South Mess,4,2018101057,B.Tech,2018101057,1
326,21,Bakul Nivas,Yuktahaar Mess,1,2018101058,B.Tech,2018101058,1
327,20,Bakul Nivas,Yuktahaar Mess,4,2018101059,B.Tech,2018101059,1
328,22,Bakul Nivas,Yuktahaar Mess,4,2018101060,B.Tech,2018101060,1
329,20,Bakul Nivas,Kadamba Mess,3,2018101062,B.Tech,2018101062,1
330,20,Bakul Nivas,Yuktahaar Mess,4,2018101063,B.Tech,2018101063,1
331,22,Bakul Nivas,South Mess,1,2018101064,Ph.D,2018101064,1
332,18,Bakul Nivas,Yuktahaar Mess,2,2018101065,B.Tech,2018101065,1
333,19,Bakul Nivas,South Mess,3,2018101066,B.Tech,2018101066,1
334,20,Bakul Nivas,South Mess,4,2018101068,B.Tech,2018101068,1
335,18,Bakul Nivas,Yuktahaar Mess,2,2018101069,B.Tech,2018101069,1
336,20,Bakul Nivas,Kadamba Mess,4,2018101070,B.Tech,2018101070,1
337,24,Parijat Nivas,South Mess,1,2018101071,B.Tech,2018101071,1
338,20,Bakul Nivas,Kadamba Mess,4,2018101072,B.Tech,2018101072,1
339,22,Bakul Nivas,Kadamba Mess,1,2018101073,B.Tech,2018101073,1
340,21,Bakul Nivas,Kadamba Mess,2,2018101074,Ph.D,2018101074,1
341,18,Bakul Nivas,Kadamba Mess,1,2018101075,Ph.D,2018101075,1
342,24,Bakul Nivas,Yuktahaar Mess,3,2018101076,B.Tech,2018101076,1
343,22,Bakul Nivas,Kadamba Mess,4,2018101077,B.Tech,2018101077,1
344,20,Bakul Nivas,Yuktahaar Mess,1,2018101078,B.Tech,2018101078,1
